image_name,bolt_count,nut_count,washer_count,layout
s01_001,0,2,4,tight
s01_002,0,2,4,tight
s01_003,0,2,4,tight
s01_004,0,2,4,tight
s01_005,1,3,5,spread
s01_006,1,3,5,spread
s01_007,1,3,5,spread
s01_008,1,3,5,spread
s01_009,2,4,6,spread
s01_010,2,4,6,spread
s01_011,2,4,6,spread
s01_012,2,4,6,spread
s01_013,3,5,5,spread
s01_014,3,5,5,spread
s01_015,3,5,5,spread
s01_016,3,5,5,spread
s01_017,4,6,4,spread
s01_018,4,6,4,spread
s01_019,4,6,4,spread
s01_020,4,6,4,spread
s01_021,5,5,3,spread
s01_022,5,5,3,spread
s01_023,5,5,3,spread
s01_024,5,5,3,spread
s01_025,6,4,2,spread
s01_026,6,4,2,spread
s01_027,6,4,2,spread
s01_028,6,4,2,spread
s01_029,0,0,0,none
s01_030,1,1,1,tight
s01_031,2,2,2,tight
s01_032,3,3,3,spread
s01_033,4,4,4,spread
s01_034,5,5,5,spread
s01_035,6,6,6,tight
s02_001,0,2,4,tight
s02_002,0,2,4,tight
s02_003,0,2,4,tight
s02_004,0,2,4,tight
s02_005,1,3,5,spread
s02_006,1,3,5,spread
s02_007,1,3,5,spread
s02_008,1,3,5,spread
s02_009,2,4,6,spread
s02_010,2,4,6,spread
s02_011,2,4,6,spread
s02_012,2,4,6,spread
s02_013,3,5,0,spread
s02_014,3,5,0,spread
s02_015,3,5,0,spread
s02_016,3,5,0,spread
s02_017,4,6,1,spread
s02_018,4,6,1,spread
s02_019,4,6,1,spread
s02_020,4,6,1,spread
s02_021,5,0,2,spread
s02_022,5,0,2,spread
s02_023,5,0,2,spread
s02_024,5,0,2,spread
s02_025,6,1,3,spread
s02_026,6,1,3,spread
s02_027,6,1,3,spread
s02_028,6,1,3,spread
s02_029,0,0,0,none
s02_030,1,1,1,tight
s02_031,2,2,2,tight
s02_032,3,3,3,spread
s02_033,4,4,4,spread
s02_034,5,5,5,spread
s02_035,6,6,6,tight
s03_001,0,2,4,tight
s03_002,0,2,4,tight
s03_003,0,2,4,tight
s03_004,0,2,4,tight
s03_005,1,3,5,spread
s03_006,1,3,5,spread
s03_007,1,3,5,spread
s03_008,1,3,5,spread
s03_009,2,4,6,spread
s03_010,2,4,6,spread
s03_011,2,4,6,spread
s03_012,2,4,6,spread
s03_013,3,5,0,spread
s03_014,3,5,0,spread
s03_015,3,5,0,spread
s03_016,3,5,0,spread
s03_017,4,6,1,spread
s03_018,4,6,1,spread
s03_019,4,6,1,spread
s03_020,4,6,1,spread
s03_021,5,0,2,spread
s03_022,5,0,2,spread
s03_023,5,0,2,spread
s03_024,5,0,2,spread
s03_025,6,1,3,spread
s03_026,6,1,3,spread
s03_027,6,1,3,spread
s03_028,6,1,3,spread
s03_029,0,0,0,none
s03_030,1,1,1,tight
s03_031,2,2,2,tight
s03_032,3,3,3,spread
s03_033,4,4,4,spread
s03_034,5,5,5,spread
s03_035,6,6,6,tight
s04_001,0,2,4,tight
s04_002,0,2,4,tight
s04_003,0,2,4,tight
s04_004,0,2,4,tight
s04_005,1,3,5,spread
s04_006,1,3,5,spread
s04_007,1,3,5,spread
s04_008,1,3,5,spread
s04_009,2,4,6,spread
s04_010,2,4,6,spread
s04_011,2,4,6,spread
s04_012,2,4,6,spread
s04_013,3,5,0,spread
s04_014,3,5,0,spread
s04_015,3,5,0,spread
s04_016,3,5,0,spread
s04_017,4,6,1,spread
s04_018,4,6,1,spread
s04_019,4,6,1,spread
s04_020,4,6,1,spread
s04_021,5,0,2,spread
s04_022,5,0,2,spread
s04_023,5,0,2,spread
s04_024,5,0,2,spread
s04_025,6,1,3,spread
s04_026,6,1,3,spread
s04_027,6,1,3,spread
s04_028,6,1,3,spread
s04_029,0,0,0,none
s04_030,1,1,1,tight
s04_031,2,2,2,tight
s04_032,3,3,3,spread
s04_033,4,4,4,spread
s04_034,5,5,5,spread
s04_035,6,6,6,tight
s05_001,0,2,4,tight
s05_002,0,2,4,tight
s05_003,0,2,4,tight
s05_004,0,2,4,tight
s05_005,1,3,5,spread
s05_006,1,3,5,spread
s05_007,1,3,5,spread
s05_008,1,3,5,spread
s05_009,2,4,6,spread
s05_010,2,4,6,spread
s05_011,2,4,6,spread
s05_012,2,4,6,spread
s05_013,3,5,0,spread
s05_014,3,5,0,spread
s05_015,3,5,0,spread
s05_016,3,5,0,spread
s05_017,4,6,1,spread
s05_018,4,6,1,spread
s05_019,4,6,1,spread
s05_020,4,6,1,spread
s05_021,5,0,2,spread
s05_022,5,0,2,spread
s05_023,5,0,2,spread
s05_024,5,0,2,spread
s05_025,6,1,3,spread
s05_026,6,1,3,spread
s05_027,6,1,3,spread
s05_028,6,1,3,spread
s05_029,0,0,0,none
s05_030,1,1,1,tight
s05_031,2,2,2,tight
s05_032,3,3,3,spread
s05_033,4,4,4,spread
s05_034,5,5,5,spread
s05_035,6,6,6,tight
s06_001,0,2,4,tight
s06_002,0,2,4,tight
s06_003,0,2,4,tight
s06_004,0,2,4,tight
s06_005,1,3,5,spread
s06_006,1,3,5,spread
s06_007,1,3,5,spread
s06_008,1,3,5,spread
s06_009,2,4,6,spread
s06_010,2,4,6,spread
s06_011,2,4,6,spread
s06_012,2,4,6,spread
s06_013,3,5,0,spread
s06_014,3,5,0,spread
s06_015,3,5,0,spread
s06_016,3,5,0,spread
s06_017,4,6,1,spread
s06_018,4,6,1,spread
s06_019,4,6,1,spread
s06_020,4,6,1,spread
s06_021,5,0,2,spread
s06_022,5,0,2,spread
s06_023,5,0,2,spread
s06_024,5,0,2,spread
s06_025,6,1,3,spread
s06_026,6,1,3,spread
s06_027,6,1,3,spread
s06_028,6,1,3,spread
s06_029,0,0,0,none
s06_030,1,1,1,tight
s06_031,2,2,2,tight
s06_032,3,3,3,spread
s06_033,4,4,4,spread
s06_034,5,5,5,spread
s06_035,6,6,6,tight
s07_001,0,2,4,tight
s07_002,0,2,4,tight
s07_003,0,2,4,tight
s07_004,0,2,4,tight
s07_005,1,3,5,spread
s07_006,1,3,5,spread
s07_007,1,3,5,spread
s07_008,1,3,5,spread
s07_009,2,4,6,spread
s07_010,2,4,6,spread
